City,Total_Branches,0 to unders 10 employee size,10 to unders 50 employee size,50 to under 250 employees size,250 to more employees size,Year
"Speyer, kreisfreie Stadt",2545.0,2133.0,321.0,72.0,19.0,2021
"Worms, kreisfreie Stadt",3438.0,2916.0,408.0,97.0,17.0,2021
"Zweibrücken, kreisfreie Stadt",1460.0,1204.0,207.0,41.0,8.0,2021
"Alzey-Worms, Landkreis",5215.0,4566.0,562.0,75.0,12.0,2021
"Bad Dürkheim, Landkreis",5839.0,5152.0,581.0,100.0,6.0,2021
Donnersbergkreis,2796.0,2423.0,303.0,62.0,8.0,2021
"Germersheim, Landkreis",4798.0,4127.0,552.0,103.0,16.0,2021
"Kaiserslautern, Landkreis",4004.0,3452.0,469.0,74.0,9.0,2021
"Kusel, Landkreis",2154.0,1865.0,249.0,36.0,4.0,2021
"Südliche Weinstraße, Landkreis",4663.0,4096.0,480.0,74.0,13.0,2021
Rhein-Pfalz-Kreis,5450.0,4813.0,543.0,90.0,4.0,2021
"Mainz-Bingen, Landkreis",8810.0,7736.0,912.0,143.0,19.0,2021
"Südwestpfalz, Landkreis",3374.0,2970.0,349.0,53.0,2.0,2021
