district,total_infection,infection_incidence_rlp,infection_incidence_yr_0_11,infection_incidence_days_yr_12_19,infection_incidence_yr_20_59,infection_incidence_yr_60_above,hospitalized,total_covid19,covid19_incidence_rlp,covid19_incidence_yr_0_11,covid19_incidence_days_yr_12_19,covid19_incidence_yr_20_59,covid19_incidence_yr_60_above,deceased,Week_Number
Westerwaldkreis,1339,660.1587524414062,552.6571655273438,879.59716796875,816.3497924804688,365.0128479003906,15,11,5.423260688781738,0,0,2.847731828689575,13.518994331359863,4,2022KW18
VG Rheinhessen-Nahe,4454,504.7608947753906,503.11376953125,703.8869018554688,588.2290649414062,296.5420837402344,57,12,1.3556303977966309,0,1.550411581993103,0.6375314593315125,3.2058603763580322,25,2022KW18
Alzey-Worms,460,351.91064453125,289.3023986816406,428.7993469238281,401.1622009277344,268.082275390625,21,4,3.0592734813690186,0,0,1.4748610258102417,7.9628400802612305,8,2022KW18
Bad Kreuznach,1120,705.5296020507812,589.66357421875,1019.2814331054688,854.5397338867188,435.1297302246094,14,1,0.6298776268959045,0,0,0,1.996008038520813,1,2022KW18
Birkenfeld,315,389.706787109375,475.9693603515625,495.38775634765625,480.9629211425781,202.62664794921875,0,0,0,0,0,0,0,1,2022KW18
Mainz-Bingen,1307,617.8938598632812,731.3286743164062,956.0692138671875,698.2305908203125,338.8173828125,8,3,1.4173741340637207,0,0,0.916313111782074,3.257859468460083,6,2022KW18
KS Mainz,1012,466.0952453613281,450.65142822265625,569.6156616210938,544.5745849609375,241.751708984375,7,2,0.920386552810669,0,0,0.7670064568519592,1.9815714359283447,2,2022KW18
KS Worms,240,287.56634521484375,255.5714569091797,387.6570129394531,348.00408935546875,159.0508575439453,7,2,2.39638614654541,0,15.506279945373535,0,4.298671722412109,7,2022KW18
VG Rheinpfalz,3846,427.5299987792969,357.3946533203125,555.2774047851562,514.857421875,269.76690673828125,23,8,0.8892267942428589,0,0,0.6441085338592529,1.881219744682312,38,2022KW18
Bad Dürkheim,695,522.5406494140625,543.8329467773438,716.1945190429688,661.7903442382812,264.6891174316406,11,0,0,0,0,0,0,8,2022KW18
KS Frankenthal,183,375.3846130371094,245.39877319335938,586.756103515625,450.4142150878906,246.57534790039062,1,1,2.0512821674346924,0,0,0,6.849315166473389,3,2022KW18
Germersheim,797,617.8007202148438,608.0670166015625,831.8961181640625,727.6522827148438,357.9196472167969,3,3,2.325148820877075,0,0,1.4700045585632324,5.50645637512207,5,2022KW18
KS Landau i.d.Pf.,176,376.9947509765625,166.1474609375,520.3550415039062,494.522216796875,170.5237579345703,0,0,0,0,0,0,0,3,2022KW18
KS Ludwigshafen,503,291.4978942871094,154.13209533691406,297.8184814453125,351.7796325683594,228.04486083984375,1,0,0,0,0,0,0,8,2022KW18
KS Neustadt a.d.W.,275,515.889404296875,417.17364501953125,657.2029418945312,566.8416748046875,440.9322509765625,3,0,0,0,0,0,0,2,2022KW18
Rhein-Pfalz-Kreis,619,399.9896545410156,304.11944580078125,471.74090576171875,497.5697021484375,259.1328430175781,2,2,1.2923402786254883,0,0,1.279099464416504,2.106771230697632,3,2022KW18
KS Speyer,213,419.77886962890625,203.66598510742188,645.6820068359375,492.7425537109375,317.2958679199219,2,2,3.941197395324707,0,0,3.8197097778320312,6.475425720214844,1,2022KW18
Südliche Weinstr.,385,347.5262451171875,460.8294982910156,482.2334899902344,404.9671325683594,189.38323974609375,0,0,0,0,0,0,0,5,2022KW18
VG Trier,2590,484.6212158203125,386.3355407714844,605.6251220703125,585.7722778320312,304.64288330078125,13,7,1.2974616289138794,0,0,0,4.537234306335449,19,2022KW18
Bernkastel-Wittlich,445,394.9061584472656,352.0550231933594,474.0488586425781,512.2627563476562,201.4641571044922,11,7,6.123377323150635,0,0,0,19.86266326904297,10,2022KW18
Bitburg-Prüm,386,385.7878112792969,369.9462585449219,415.493896484375,455.5939025878906,257.1051330566406,2,0,0,0,0,0,0,1,2022KW18
Trier-Saarburg,717,476.3075256347656,329.3342590332031,580.4886474609375,592.701904296875,295.17572021484375,0,0,0,0,0,0,0,2,2022KW18
KS Trier,486,439.1275329589844,274.80078125,565.8089599609375,514.6398315429688,285.1033630371094,0,0,0,0,0,0,0,1,2022KW18
Vulkaneifel,556,919.14501953125,853.5564575195312,1320.973388671875,1091.2003173828125,598.0033569335938,0,0,0,0,0,0,0,5,2022KW18
VG Westpfalz,3343,642.0018920898438,533.7310791015625,753.15380859375,783.08740234375,425.2689208984375,14,1,0.18170155584812164,0,0,0,0.6118977665901184,43,2022KW18
Donnersbergkreis,437,578.5090942382812,575.9097900390625,576.075927734375,670.7540893554688,429.00042724609375,5,0,0,0,0,0,0,6,2022KW18
Kaiserslautern,935,879.4205932617188,708.0191040039062,1106.24853515625,1163.8690185546875,424.68768310546875,1,0,0,0,0,0,0,6,2022KW18
KS Kaiserslautern,635,637.153564453125,425.6142272949219,765.30615234375,744.895751953125,466.63726806640625,4,1,0.9419388771057129,0,0,0,3.674309253692627,16,2022KW18
Kusel,397,566.2933959960938,539.5925903320312,698.4387817382812,698.68994140625,353.5826721191406,1,0,0,0,0,0,0,1,2022KW18
KS Pirmasens,214,532.6563110351562,602.7000732421875,610.19384765625,564.33984375,449.421630859375,0,0,0,0,0,0,0,3,2022KW18
Südwestpfalz,501,527.8573608398438,285.9028015136719,544.9591064453125,649.03076171875,419.5293884277344,1,0,0,0,0,0,0,11,2022KW18
KS Zweibrücken,224,658.8041381835938,657.5185546875,762.4398193359375,768.297607421875,457.9439392089844,2,0,0,0,0,0,0,0,2022KW18
Rheinland-Pfalz,21264,518.8377685546875,473.0307922363281,686.1583862304688,632.2105712890625,296.31939697265625,158,24,0.5802657604217529,0.22228890657424927,0,0.18775279819965363,1.5595757961273193,125,2022KW19
VG Mittelrhein-Westerwald,8822,699.4625854492188,633.6005859375,964.3025512695312,857.9717407226562,392.99462890625,60,6,0.47569477558135986,0,0,0.15481266379356384,1.2978686094284058,17,2022KW19
Ahrweiler,493,377.8385925292969,407.12469482421875,499.334228515625,462.3636169433594,214.812744140625,18,0,0,0,0,0,0,2,2022KW19
Altenkirchen,572,443.11199951171875,301.14154052734375,461.7278747558594,593.82421875,238.66348266601562,9,2,1.5493426322937012,0,0,0,5.077946662902832,3,2022KW19
Cochem-Zell,280,454.7078552246094,586.8544311523438,619.195068359375,548.26708984375,239.60879516601562,2,0,0,0,0,0,0,2,2022KW19
KS Koblenz,476,419.7975158691406,450.41143798828125,540.759765625,467.3944396972656,287.75177001953125,2,0,0,0,0,0,0,1,2022KW19
Mayen-Koblenz,801,372.9293212890625,409.611083984375,507.2962951660156,446.3881530761719,200.9397735595703,12,1,0.46557968854904175,0,0,0,1.545690655708313,1,2022KW19
Neuwied,633,345.6542053222656,379.8807373046875,441.2073669433594,422.3009338378906,180.2841339111328,2,1,0.5460571646690369,0,0,0,1.802841305732727,2,2022KW19
Rhein-Hunsrück,3923,3793.96728515625,3004.9482421875,5482.115234375,4731.26123046875,2162.278564453125,9,0,0,0,0,0,0,1,2022KW19
Rhein-Lahn,677,552.3193969726562,458.5753479003906,808.98876953125,701.9132690429688,286.3851013183594,3,1,0.8158071041107178,0,0,1.617311716079712,0,1,2022KW19
Westerwaldkreis,967,476.7539367675781,490.75958251953125,650.1370239257812,579.988037109375,241.6520233154297,3,1,0.49302372336387634,0,0,0,1.689874291419983,4,2022KW19
VG Rheinhessen-Nahe,4086,463.0563659667969,425.39703369140625,598.4588623046875,568.2530517578125,244.4468536376953,48,8,0.9037536382675171,0,0,0.4250209927558899,2.404395341873169,21,2022KW19
Alzey-Worms,684,523.2758178710938,466.828857421875,688.0733642578125,665.1622924804688,246.84803771972656,11,3,2.294455051422119,0,0,1.4748610258102417,5.308559894561768,7,2022KW19
Bad Kreuznach,859,541.115966796875,508.7293395996094,857.8952026367188,634.6213989257812,329.34130859375,3,0,0,0,0,0,0,0,2022KW19
Birkenfeld,344,425.5845642089844,441.142333984375,478.305419921875,541.3980712890625,236.3977508544922,3,0,0,0,0,0,0,0,2022KW19
Mainz-Bingen,915,432.5729675292969,445.3341979980469,611.158203125,537.8757934570312,192.21371459960938,9,2,0.9449161291122437,0,0,0.916313111782074,1.6289297342300415,7,2022KW19
KS Mainz,890,409.9059143066406,361.4135437011719,374.9369201660156,499.3211975097656,210.04656982421875,11,0,0,0,0,0,0,1,2022KW19
KS Worms,394,472.0881042480469,296.462890625,542.7197875976562,602.752197265625,279.4136657714844,11,3,3.5945794582366943,0,0,0,12.896015167236328,6,2022KW19
VG Rheinpfalz,2933,326.03887939453125,297.6656799316406,359.56488037109375,394.4091491699219,208.81539916992188,22,5,0.555766761302948,0,0,0.21470284461975098,1.5049757957458496,38,2022KW19
Bad Dürkheim,573,430.8141174316406,514.8284912109375,416.8893737792969,520.95166015625,271.5345153808594,10,0,0,0,0,0,0,10,2022KW19
KS Frankenthal,145,297.4358825683594,227.8702850341797,335.2891845703125,369.9831237792969,191.78082275390625,2,0,0,0,0,0,0,1,2022KW19
Germersheim,569,441.06475830078125,425.64691162109375,426.0931396484375,545.3717041015625,256.05023193359375,4,4,3.10019850730896,0,0,1.4700045585632324,8.259684562683105,5,2022KW19
KS Landau i.d.Pf.,118,252.75784301757812,249.22119140625,367.3094482421875,289.10528564453125,146.1632080078125,0,0,0,0,0,0,0,2,2022KW19
KS Ludwigshafen,389,225.43275451660156,113.33242797851562,282.92755126953125,265.694580078125,176.8511199951172,1,0,0,0,0,0,0,7,2022KW19
KS Neustadt a.d.W.,190,356.43267822265625,347.64471435546875,473.1861267089844,395.64788818359375,274.8668518066406,3,0,0,0,0,0,0,2,2022KW19
Rhein-Pfalz-Kreis,509,328.90911865234375,259.8838806152344,326.58984375,425.94012451171875,195.92971801757812,2,1,0.6461701393127441,0,0,0,2.106771230697632,3,2022KW19
KS Speyer,151,297.5897216796875,314.75653076171875,215.2273406982422,366.692138671875,194.2627716064453,0,0,0,0,0,0,0,2,2022KW19
Südliche Weinstr.,289,260.870361328125,307.21966552734375,406.09136962890625,306.4131774902344,141.3307647705078,0,0,0,0,0,0,0,6,2022KW19
VG Trier,2109,394.6201477050781,365.4525451660156,487.5795593261719,473.693115234375,236.58436584472656,10,2,0.3707033097743988,1.7402502298355103,0,0,0.648176372051239,16,2022KW19
Bernkastel-Wittlich,329,291.9643249511719,294.7437438964844,291.7223815917969,377.17974853515625,153.22625732421875,8,2,1.749536395072937,8.187326431274414,0,0,2.8375234603881836,9,2022KW19
Bitburg-Prüm,319,318.82464599609375,220.20611572265625,442.2999572753906,394.5938720703125,187.6172637939453,2,0,0,0,0,0,0,1,2022KW19
Trier-Saarburg,608,403.8981628417969,452.8346252441406,528.5045776367188,487.1347961425781,200.6272430419922,0,0,0,0,0,0,0,2,2022KW19
KS Trier,429,387.6249084472656,283.9607849121094,511.9223937988281,438.5096740722656,270.097900390625,0,0,0,0,0,0,0,1,2022KW19
Vulkaneifel,424,700.9307250976562,686.1924438476562,787.9490356445312,837.5880126953125,484.33331298828125,0,0,0,0,0,0,0,3,2022KW19
VG Westpfalz,3314,636.4326171875,594.8316040039062,927.9931030273438,783.465576171875,346.3341064453125,18,3,0.5451046824455261,0,0,0,1.8356932401657104,33,2022KW19
Donnersbergkreis,387,512.318115234375,539.1495971679688,813.2836303710938,576.4292602539062,321.7503356933594,6,0,0,0,0,0,0,3,2022KW19
Kaiserslautern,848,797.5921630859375,815.7611083984375,1081.935302734375,1033.28857421875,331.69036865234375,3,1,0.8081918358802795,0,0,0,3.099910020828247,5,2022KW19
KS Kaiserslautern,575,576.9500732421875,377.2489929199219,780.3121337890625,699.8052368164062,352.7336730957031,4,1,0.9419388771057129,0,0,0,3.674309253692627,13,2022KW19
Kusel,498,710.363037109375,809.388916015625,1027.1158447265625,835.5167236328125,430.2632751464844,0,0,0,0,0,0,0,3,2022KW19
KS Pirmasens,268,667.06494140625,795.5641479492188,1184.493896484375,803.2944946289062,324.1730041503906,0,0,0,0,0,0,0,1,2022KW19
Südwestpfalz,560,590.0202026367188,362.8766174316406,945.6643676757812,747.5634765625,361.7680969238281,3,1,1.0405285358428955,0,0,0,3.0400681495666504,8,2022KW19
KS Zweibrücken,178,523.5140380859375,457.40423583984375,561.7977294921875,716.3075561523438,224.299072265625,2,0,0,0,0,0,0,0,2022KW19
Rheinland-Pfalz,13500,329.3975524902344,275.86053466796875,470.3370666503906,398.0828552246094,194.3723907470703,161,44,1.063820481300354,0.8891556262969971,0.667144775390625,0.5163201689720154,2.2162392139434814,113,2022KW20
VG Mittelrhein-Westerwald,3973,315.00396728515625,304.74212646484375,460.16217041015625,390.59234619140625,156.78253173828125,61,20,1.5856492519378662,1.4615930318832397,2.145278215408325,0.46443799138069153,3.3744585514068604,18,2022KW20
Ahrweiler,366,280.5049133300781,298.07342529296875,410.5636901855469,352.93756103515625,137.76034545898438,14,1,0.7664068341255188,0,0,0,2.33492112159729,1,2022KW20
Altenkirchen,387,299.7978210449219,252.11849975585938,246.25486755371094,380.65655517578125,195.50094604492188,12,1,0.7746713161468506,0,0,0,2.538973331451416,2,2022KW20
Cochem-Zell,214,347.5267028808594,335.34539794921875,398.053955078125,456.8892517089844,176.03912353515625,2,0,0,0,0,0,0,2,2022KW20
KS Koblenz,294,259.28668212890625,173.23516845703125,446.1268005371094,321.7338562011719,125.1094741821289,1,0,0,0,0,0,0,1,2022KW20
Mayen-Koblenz,612,284.9347839355469,346.2691650390625,463.45587158203125,347.6938171386719,111.28972625732422,5,0,0,0,0,0,0,1,2022KW20
Neuwied,441,240.81121826171875,177.9188232421875,343.1612854003906,314.29559326171875,115.38184356689453,10,10,5.460571765899658,4.808617115020752,0,3.2401607036590576,10.817048072814941,5,2022KW20
Rhein-Hunsrück,460,444.8699645996094,485.8299560546875,622.083984375,545.5453491210938,227.60826110839844,2,2,1.9341424703598022,0,12.9600830078125,0,3.075787305831909,2,2022KW20
Rhein-Lahn,494,403.0218505859375,481.5041198730469,696.6292114257812,470.6376953125,201.2435760498047,1,1,0.8158071041107178,0,0,0,2.5800459384918213,1,2022KW20
Westerwaldkreis,705,347.58172607421875,282.9604797363281,535.406982421875,430.00750732421875,175.74691772460938,14,5,2.465118646621704,4.421257495880127,6.373892307281494,0,5.069622993469238,3,2022KW20
VG Rheinhessen-Nahe,3072,348.1422119140625,292.46044921875,514.7366333007812,399.9447326660156,229.21900939941406,41,9,1.0167227983474731,1.0225889682769775,0,0.6375314593315125,2.003662586212158,23,2022KW20
Alzey-Worms,603,461.3089599609375,519.4292602539062,478.6597595214844,541.2739868164062,289.3165283203125,14,4,3.0592734813690186,6.575054168701172,0,1.4748610258102417,5.308559894561768,7,2022KW20
Bad Kreuznach,547,344.57562255859375,271.70770263671875,331.2664489746094,437.3232727050781,225.5489044189453,9,0,0,0,0,0,0,0,2022KW20
Birkenfeld,233,288.2593078613281,162.526123046875,478.305419921875,347.50201416015625,198.87429809570312,2,0,0,0,0,0,0,0,2022KW20
Mainz-Bingen,644,304.45574951171875,249.22372436523438,556.6985473632812,333.5379638671875,206.87408447265625,3,1,0.4724580645561218,0,0,0.916313111782074,0,7,2022KW20
KS Mainz,648,298.4483337402344,200.78529357910156,497.512451171875,339.016845703125,182.3045654296875,4,1,0.4601932764053345,0,0,0,1.9815714359283447,2,2022KW20
KS Worms,397,475.68267822265625,408.9143371582031,868.3516845703125,507.2216491699219,335.29638671875,9,3,3.5945794582366943,0,0,2.274536609649658,8.597343444824219,7,2022KW20
VG Rheinpfalz,2619,291.1339111328125,234.9992218017578,409.6308898925781,358.983154296875,164.41860961914062,31,12,1.333840250968933,0.979163408279419,0,0.6441085338592529,3.009951591491699,30,2022KW20
Bad Dürkheim,425,319.5392761230469,348.0530700683594,406.19989013671875,405.857666015625,162.0079803466797,3,0,0,0,0,0,0,7,2022KW20
KS Frankenthal,138,283.0769348144531,262.92724609375,363.2299499511719,369.9831237792969,123.28767395019531,0,0,0,0,0,0,0,1,2022KW20
Germersheim,378,293.0096130371094,175.66380310058594,436.23822021484375,348.3910827636719,198.232421875,3,3,2.325148820877075,0,0,0,8.259684562683105,4,2022KW20
KS Landau i.d.Pf.,154,329.87042236328125,207.684326171875,397.9185791015625,399.4217834472656,211.12464904785156,4,2,4.283847808837891,0,0,0,16.2403564453125,1,2022KW20
KS Ludwigshafen,341,197.61585998535156,131.4656219482422,327.600341796875,233.8112335205078,111.69544219970703,7,2,1.1589970588684082,0,0,1.062778353691101,2.326988458633423,6,2022KW20
KS Neustadt a.d.W.,166,311.40960693359375,173.82235717773438,341.74554443359375,407.060791015625,206.150146484375,2,0,0,0,0,0,0,1,2022KW20
Rhein-Pfalz-Kreis,437,282.3836669921875,232.23666381835938,371.9495544433594,356.8687744140625,158.00784301757812,5,2,1.2923402786254883,5.529444217681885,0,1.279099464416504,0,3,2022KW20
KS Speyer,131,258.1738586425781,259.21124267578125,511.1649169921875,297.9373474121094,129.50851440429688,2,0,0,0,0,0,0,2,2022KW20
Südliche Weinstr.,449,405.2968444824219,392.5584716796875,583.75634765625,512.4805297851562,200.689697265625,5,3,2.7079966068267822,0,0,1.7918899059295654,5.653230667114258,5,2022KW20
VG Trier,1629,304.8061828613281,186.20677185058594,402.8946838378906,363.7286376953125,215.8427276611328,8,1,0.1853516548871994,0,0,0.3524502217769623,0,12,2022KW20
Bernkastel-Wittlich,258,228.9568328857422,130.99722290039062,340.3427734375,259.6400146484375,187.27655029296875,4,1,0.8747681975364685,0,0,1.7543244361877441,0,6,2022KW20
Bitburg-Prüm,269,268.8521423339844,123.31542205810547,402.09088134765625,316.4375915527344,204.98922729492188,2,0,0,0,0,0,0,1,2022KW20
Trier-Saarburg,439,291.6304016113281,176.4290771484375,337.8963928222656,357.4017639160156,205.23936462402344,0,0,0,0,0,0,0,0,2022KW20
KS Trier,288,260.2237243652344,201.52056884765625,350.2626953125,295.3849792480469,172.56256103515625,0,0,0,0,0,0,0,1,2022KW20
Vulkaneifel,375,619.9269409179688,418.4100341796875,787.9490356445312,810.8919677734375,360.7789001464844,2,0,0,0,0,0,0,4,2022KW20
VG Westpfalz,2207,423.8403015136719,343.2412109375,597.1433715820312,518.78125,258.2208557128906,20,2,0.3634031116962433,0,0,0.37812045216560364,0.6118977665901184,30,2022KW20
Donnersbergkreis,262,346.8406982421875,245.06800842285156,406.6418151855469,458.5232849121094,184.47018432617188,2,0,0,0,0,0,0,3,2022KW20
Kaiserslautern,601,565.274658203125,515.6226196289062,680.768310546875,724.8159790039062,294.491455078125,4,1,0.8081918358802795,0,0,0,3.099910020828247,1,2022KW20
KS Kaiserslautern,391,392.3260498046875,203.13406372070312,645.2581176757812,450.9054260253906,282.92181396484375,7,1,0.9419388771057129,0,0,1.8036216497421265,0,16,2022KW20
Kusel,255,363.7401123046875,391.20465087890625,595.7271728515625,442.5036315917969,191.7014617919922,2,0,0,0,0,0,0,1,2022KW20
KS Pirmasens,168,418.16009521484375,216.97203063964844,753.7688598632812,437.23626708984375,383.113525390625,1,0,0,0,0,0,0,2,2022KW20
Südwestpfalz,397,418.2821960449219,373.8728942871094,593.0437622070312,514.083740234375,261.44586181640625,4,0,0,0,0,0,0,7,2022KW20
KS Zweibrücken,133,391.16497802734375,314.4654235839844,481.5409240722656,496.7939453125,224.299072265625,0,0,0,0,0,0,0,0,2022KW20
Rheinland-Pfalz,9458,230.77349853515625,166.7166748046875,324.23236083984375,282.8026428222656,140.44390869140625,99,24,0.5802657604217529,0.22228890657424927,0.3335723876953125,0.14081458747386932,1.5595757961273193,81,2022KW21
VG Mittelrhein-Westerwald,3004,238.1756591796875,188.54550170898438,347.5350646972656,297.5499267578125,129.786865234375,33,7,0.5549772381782532,0,1.0726391077041626,0,1.5574424266815186,14,2022KW21
Ahrweiler,306,234.52049255371094,247.18284606933594,299.60052490234375,308.2424011230469,105.07144927978516,7,0,0,0,0,0,0,1,2022KW21
Altenkirchen,343,265.7122802734375,224.10533142089844,389.903564453125,334.977783203125,134.56558227539062,6,3,2.3240139484405518,0,0,0,7.61691951751709,3,2022KW21
Cochem-Zell,176,285.8163757324219,268.2763366699219,265.3692932128906,336.13995361328125,220.0489044189453,2,0,0,0,0,0,0,0,2022KW21
KS Koblenz,226,199.3156280517578,112.60285949707031,243.34188842773438,256.1065368652344,109.47078704833984,5,0,0,0,0,0,0,1,2022KW21
Mayen-Koblenz,472,219.7536163330078,194.24855041503906,306.8829345703125,267.1085205078125,126.74662780761719,7,1,0.46557968854904175,0,0,0,1.545690655708313,0,2022KW21
Neuwied,346,188.935791015625,115.40680694580078,287.13494873046875,240.85194396972656,104.5647964477539,2,1,0.5460571646690369,0,7.003291606903076,0,0,4,2022KW21
Rhein-Hunsrück,262,253.38246154785156,143.94961547851562,298.0819091796875,338.0844421386719,144.56201171875,1,0,0,0,0,0,0,2,2022KW21
Rhein-Lahn,318,259.43511962890625,198.7159881591797,382.0224609375,341.2527770996094,121.26216125488281,1,1,0.8158071041107178,0,0,0,2.5800459384918213,1,2022KW21
Westerwaldkreis,555,273.628173828125,225.484130859375,522.6591796875,317.0474853515625,148.7089385986328,2,1,0.49302372336387634,0,0,0,1.689874291419983,2,2022KW21
VG Rheinhessen-Nahe,2431,275.499267578125,207.5855712890625,398.4557800292969,333.0039367675781,161.8959503173828,24,4,0.45187681913375854,0,0,0.21251049637794495,1.2021976709365845,17,2022KW21
Alzey-Worms,314,240.21726989746094,190.67657470703125,398.88311767578125,309.7207946777344,92.8998031616211,8,2,1.5296367406845093,0,0,1.4748610258102417,2.654279947280884,4,2022KW21
Bad Kreuznach,351,221.10794067382812,150.306396484375,339.7604675292969,258.8752746582031,157.68463134765625,2,0,0,0,0,0,0,1,2022KW21
Birkenfeld,141,174.440185546875,92.8720703125,68.329345703125,249.294921875,112.57035827636719,0,0,0,0,0,0,0,0,2022KW21
Mainz-Bingen,641,303.0374755859375,228.79554748535156,478.03460693359375,348.198974609375,205.24514770507812,5,0,0,0,0,0,0,5,2022KW21
KS Mainz,801,368.9153137207031,312.3326721191406,490.3021240234375,425.6885681152344,214.00970458984375,5,2,0.920386552810669,0,0,0,3.9631428718566895,2,2022KW21
KS Worms,183,219.26934814453125,143.12001037597656,403.16326904296875,266.12078857421875,111.76546478271484,4,0,0,0,0,0,0,5,2022KW21
VG Rheinpfalz,1736,192.9776611328125,125.33291625976562,247.29568481445312,237.24664306640625,127.92294311523438,29,11,1.2226868867874146,0.979163408279419,0,0.42940568923950195,3.009951591491699,19,2022KW21
Bad Dürkheim,335,251.87213134765625,166.7754364013672,160.34205627441406,307.42205810546875,214.48944091796875,7,0,0,0,0,0,0,2,2022KW21
KS Frankenthal,72,147.6923065185547,122.69938659667969,139.70382690429688,156.84066772460938,143.8356170654297,0,0,0,0,0,0,0,0,2022KW21
Germersheim,248,192.23912048339844,114.85710144042969,314.497314453125,226.38070678710938,126.64849853515625,6,6,4.65029764175415,0,0,2.940009117126465,11.01291275024414,2,2022KW21
KS Landau i.d.Pf.,110,235.62171936035156,145.3790283203125,397.9185791015625,292.9093017578125,105.56232452392578,2,0,0,0,0,0,0,0,2022KW21
KS Ludwigshafen,268,155.31100463867188,58.932861328125,163.8001708984375,196.61398315429688,111.69544219970703,0,0,0,0,0,0,0,3,2022KW21
KS Neustadt a.d.W.,106,198.85191345214844,156.44012451171875,420.6098937988281,235.86700439453125,108.80146789550781,2,0,0,0,0,0,0,1,2022KW21
Rhein-Pfalz-Kreis,263,169.9471435546875,138.23611450195312,208.65463256835938,217.44691467285156,94.80470275878906,0,0,0,0,0,0,0,4,2022KW21
KS Speyer,85,167.51739501953125,166.63580322265625,322.84100341796875,206.2643280029297,64.75425720214844,0,0,0,0,0,0,0,1,2022KW21
Südliche Weinstr.,249,224.76373291015625,153.60983276367188,329.9492492675781,288.4942626953125,124.37107849121094,12,5,4.5133280754089355,8.533879280090332,0,0,11.306461334228516,6,2022KW21
VG Trier,1005,188.04800415039062,139.2200164794922,251.4884033203125,219.2240447998047,132.87615966796875,5,2,0.3707033097743988,0,0,0,1.296352744102478,9,2022KW21
Bernkastel-Wittlich,160,141.9887237548828,49.12395477294922,97.24079132080078,177.186767578125,127.68855285644531,3,2,1.749536395072937,0,0,0,5.675046920776367,4,2022KW21
Bitburg-Prüm,129,128.92909240722656,105.69893646240234,294.86663818359375,137.2500457763672,79.91105651855469,1,0,0,0,0,0,0,0,2022KW21
Trier-Saarburg,277,184.01280212402344,164.66712951660156,173.2801971435547,226.3968505859375,117.60907745361328,0,0,0,0,0,0,0,0,2022KW21
KS Trier,233,210.52821350097656,192.36053466796875,363.7343444824219,213.1644287109375,168.81118774414062,0,0,0,0,0,0,0,1,2022KW21
Vulkaneifel,206,340.5465393066406,217.57322692871094,486.67437744140625,437.14752197265625,202.62924194335938,1,0,0,0,0,0,0,4,2022KW21
VG Westpfalz,1282,246.19993591308594,145.56301879882812,349.6785583496094,305.8994445800781,160.3172149658203,8,0,0,0,0,0,0,22,2022KW21
Donnersbergkreis,153,202.5443878173828,110.28060150146484,220.26431274414062,269.87371826171875,120.1201171875,4,0,0,0,0,0,0,3,2022KW21
Kaiserslautern,294,276.5237121582031,184.7006378173828,425.4801940917969,342.53704833984375,167.3951416015625,0,0,0,0,0,0,0,1,2022KW21
KS Kaiserslautern,235,235.7969970703125,67.71135711669922,345.1380615234375,295.7939453125,150.6466827392578,0,0,0,0,0,0,0,12,2022KW21
Kusel,156,222.5233612060547,80.93888854980469,369.76171875,276.5647888183594,157.62120056152344,0,0,0,0,0,0,0,0,2022KW21
KS Pirmasens,95,236.45957946777344,192.86402893066406,215.36253356933594,269.4595642089844,206.29190063476562,1,0,0,0,0,0,0,1,2022KW21
Südwestpfalz,261,274.9915771484375,241.91775512695312,448.78985595703125,332.0124206542969,170.2438201904297,3,0,0,0,0,0,0,5,2022KW21
KS Zweibrücken,88,258.81591796875,142.93882751464844,280.89886474609375,335.0470886230469,168.22430419921875,0,0,0,0,0,0,0,0,2022KW21
Rheinland-Pfalz,8373,204.2996826171875,113.58963012695312,254.51573181152344,266.6559143066406,116.39360046386719,61,12,0.29013288021087646,0.22228890657424927,0,0.18775279819965363,0.5745805501937866,55,2022KW22
VG Mittelrhein-Westerwald,2760,218.829833984375,134.466552734375,270.3050537109375,291.357421875,114.7315902709961,22,5,0.39641231298446655,0.7307965159416199,0,0.46443799138069153,0.25957372784614563,9,2022KW22
Ahrweiler,235,180.10560607910156,138.131591796875,210.8300018310547,232.72300720214844,107.4063720703125,9,0,0,0,0,0,0,1,2022KW22
Altenkirchen,289,223.88002014160156,133.0625457763672,328.33984375,299.9573669433594,104.097900390625,3,2,1.5493426322937012,7.003291606903076,0,1.522626280784607,0,2,2022KW22
Cochem-Zell,173,280.9444885253906,217.97451782226562,176.91287231445312,391.6193542480469,156.47921752929688,2,1,1.622718095779419,0,0,0,4.889975547790527,1,2022KW22
KS Koblenz,234,206.3710479736328,164.5734100341797,202.784912109375,268.911865234375,100.08757781982422,0,0,0,0,0,0,0,0,2022KW22
Mayen-Koblenz,457,212.76991271972656,130.90663146972656,212.93919372558594,287.9339294433594,114.381103515625,1,1,0.46557968854904175,0,0,0.9054526090621948,0,0,2022KW22
Neuwied,291,158.90264892578125,96.1723403930664,161.07569885253906,209.5303955078125,97.35343170166016,2,1,0.5460571646690369,0,0,1.0800535678863525,0,2,2022KW22
Rhein-Hunsrück,295,285.29705810546875,188.93386840820312,401.7625732421875,386.1077880859375,129.18307495117188,1,0,0,0,0,0,0,1,2022KW22
Rhein-Lahn,223,181.930908203125,84.07215118408203,314.60675048828125,232.89288330078125,103.20183563232422,2,0,0,0,0,0,0,1,2022KW22
Westerwaldkreis,563,277.5723571777344,137.05897521972656,395.18133544921875,369.2558898925781,136.87982177734375,2,0,0,0,0,0,0,1,2022KW22
